id;delivery_id;customer_type;delivery_status;expected_delivery_time;current_distance_from_destination_in_meters;time_to_reach_destination
1;47001;Strategist Accounts grow;tan target;2022-03-06T14:24:04;2022-03-06T08:19:57;2022-03-06T21:52:54
2;56389;Global;parsing action-items;2022-03-06T02:35:11;2022-03-06T04:04:05;2022-03-06T13:42:11
3;66113;Avon Tuna;Concrete Rustic;2022-03-06T07:55:37;2022-03-06T20:57:24;2022-03-06T06:32:40
4;91220;Representative optimizing paradigm;Rupee digital revolutionize;2022-03-06T22:12:20;2022-03-07T00:07:31;2022-03-06T20:22:22
5;60470;mission-critical Corporate Zloty;Intelligent District blockchains;2022-03-06T18:17:54;2022-03-06T23:46:03;2022-03-06T19:30:07
6;39595;Accountability;calculate invoice Communications;2022-03-06T05:48:41;2022-03-06T11:08:31;2022-03-06T20:45:50
7;61623;Loan Dollar;Object-based Land Toys;2022-03-06T06:16:43;2022-03-06T13:45:29;2022-03-06T09:59:40
8;81727;Health Program;disintermediate;2022-03-06T15:32:12;2022-03-06T10:33:53;2022-03-06T08:03:49
9;93826;Cotton parse optical;Awesome Money;2022-03-06T05:41:41;2022-03-06T10:00:20;2022-03-06T12:55:51
10;39844;Rubber payment;turquoise Togo real-time;2022-03-06T16:53:56;2022-03-06T04:25:30;2022-03-06T20:18:31
